grain_id,source_image,label,touches_border,centroid_x_um,centroid_y_um,area_um2,perimeter_um,equivalent_diameter_um,feret_max_um,feret_min_um,major_axis_um,minor_axis_um,inscribed_radius_um,aspect_ratio,elongation,circularity,solidity,convexity,orientation_deg,n_corners,min_corner_angle_deg,mean_corner_angle_deg,pixel_area,outline_px
16,C:\malav_parikh\sem-abaqus\B4C_18.tif,24,False,11.16972564153178,16.963546160679037,8.698220679999999,14.618918548201332,3.3279000193228727,4.482995750611415,2.918857710166389,4.227159486706308,2.7905975874971327,1.2594457864761353,1.5358733435333722,0.34890464489771167,0.5114577845854731,0.8398999109376989,0.8082899957560601,71.03779418685755,8,33.801973203045996,70.08089723850892,10132,458
17,C:\malav_parikh\sem-abaqus\B4C_18.tif,26,True,8.937809690213314,19.541316057455248,8.00885321,13.356718666718415,3.1933037147993217,5.491307790499454,2.0803,5.754791658896436,1.9716012478924947,1.7146180868148804,2.6396711005621567,0.6211649247563322,0.564131877019389,0.9300153139356816,0.9468556518302859,-173.60607192717657,6,54.833563964207116,112.70955943208811,9329,437
18,C:\malav_parikh\sem-abaqus\B4C_18.tif,21,True,0.9262938209331651,16.10336498108449,6.8078256999999995,12.948760778082598,2.944145528825697,4.505440716511538,2.0313256117881573,4.478342307670105,2.111514466072059,1.9621915817260742,2.217980559278943,0.549139420624545,0.5102251674833076,0.8437073064101863,0.8484910040056155,86.21949377021397,8,49.76364169072618,105.68405240351498,7930,419
19,C:\malav_parikh\sem-abaqus\B4C_18.tif,28,True,28.184605798786,19.470586000258297,6.64728807,10.694444316864923,2.909224988887982,4.271875692245738,2.1096,4.24337030483509,2.111325486212498,1.8925988674163818,2.024969516612504,0.5061654055549129,0.7303615756417039,0.9775164749967695,0.9628002504520234,171.8753265927244,6,64.98310652189998,120.0,7743,354
20,C:\malav_parikh\sem-abaqus\B4C_18.tif,4,True,24.42886428310168,0.41178074250182883,4.69422332,12.782570931640473,2.4447639482866204,6.123770095292605,1.0841,6.021209337866381,1.0911044010875197,1.112491488456726,5.64871330623799,0.8229685335781373,0.36102492624583643,0.9473304473304472,0.9663987362375925,178.82354676231753,4,29.00111388351936,90.00000000000001,5468,430
21,C:\malav_parikh\sem-abaqus\B4C_18.tif,20,False,13.430063957597174,15.105852552021986,4.37314806,14.81418325333339,2.3596747752548146,4.6269886124778825,2.589778586095728,3.7312881741701807,2.6152629740115114,0.9485023617744446,1.7866348255869207,0.44028853256484923,0.2504082424915463,0.5303203973582229,0.760126340883272,125.23891007369951,10,3.691385986451159,107.65664035774202,5094,470
22,C:\malav_parikh\sem-abaqus\B4C_18.tif,2,True,12.077344865302816,0.6527543852542029,4.23836513,10.961058359780997,2.323026923766186,3.783218904583767,1.7287,3.6914712221825443,1.6567279796381844,1.2936973571777344,2.1884762564839284,0.5430610695285176,0.4433056350343423,0.8284023668639052,0.8111248135845676,171.99690211385814,9,18.58299960326633,99.71854133889718,4937,352
23,C:\malav_parikh\sem-abaqus\B4C_18.tif,17,True,0.6406569085598741,12.866017726353627,3.8211389899999997,10.047510229943335,2.2057255649779686,3.6793380940054963,1.6408,3.5615733902503566,1.4888254267353833,1.7329246997833252,2.2424049817195857,0.5540502236874487,0.4756481204247068,0.812139548076014,0.8392275414221053,81.37686304122467,8,62.52556837372287,93.39508802385447,4451,310
24,C:\malav_parikh\sem-abaqus\B4C_18.tif,3,True,20.148940305061245,0.6291475849318234,3.71468623,8.060286816328277,2.1747839902664308,3.2421214597852437,1.5529,3.267411128524439,1.5546792083381598,1.3694231510162354,2.087785085829895,0.521023496725239,0.7185070073228357,0.979915927136852,0.9626632617296067,-170.36937884987208,5,45.86140799319093,108.0,4327,260
25,C:\malav_parikh\sem-abaqus\B4C_18.tif,19,False,15.043531996133398,14.312653479942,3.5524316199999997,9.35387439572251,2.126757254260955,3.928604487601163,1.5804584320729016,3.375701856068981,1.4478952445558197,0.8545607328414917,2.485737307528218,0.5977048753416402,0.5102141786243686,0.8825024870122693,0.8904399569716925,163.58190413990857,4,37.90836890516461,90.0,4138,290
26,C:\malav_parikh\sem-abaqus\B4C_18.tif,6,False,12.024765672653338,2.266048695357506,2.5334039899999996,6.964954196211635,1.7960039373169103,2.820267691195288,1.2189536812049429,2.6977548122827564,1.2121613802301598,0.6152999997138977,2.3136791288143423,0.5677879497005034,0.6562627964809851,0.9360723089564503,0.9063768608772912,146.191356614003,5,63.17705508288678,108.0,2951,204
27,C:\malav_parikh\sem-abaqus\B4C_18.tif,22,False,16.029559053916582,16.0069506612411,1.68779134,6.207865551244025,1.4659340630975017,2.4951491899283296,1.09214280481888,2.4040044679008545,1.0193012048111474,0.46880000829696655,2.2846363853874614,0.5622935857994726,0.5503563899608869,0.8337048595630852,0.9141509714948306,92.19743783474246,4,39.458795221960145,90.0,1966,190
28,C:\malav_parikh\sem-abaqus\B4C_18.tif,25,True,1.1567381402679273,19.436013002364067,1.08942381,6.945890293542705,1.1777510245667573,3.1763146065841776,0.5341653769335644,3.3379114841359825,0.4505772407676938,0.28677666187286377,5.946313152713424,0.8318285676657174,0.28375981194431277,0.7745358090185677,0.922617806227599,-142.0711669589185,3,10.701073570743356,60.0,1269,200
