time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
5.13230205e-08,3.91030153e-05,-6.36075265e-06,6.45300346e-08,-0.000198554408,-3.88173748e-05,7.91936827e-06,7.94217631e-06,3.9617031e-05
5.22350518e-08,3.99268647e-05,-6.25039911e-06,9.90176474e-08,-0.00019663159,-3.96449782e-05,7.84204819e-06,7.86526361e-06,4.04132629e-05
5.31013598e-08,3.64814587e-05,-5.49782953e-06,1.14313316e-07,-0.000174336237,-3.62324228e-05,6.9523011e-06,6.97344949e-06,3.6893577e-05
5.40132525e-08,3.44897853e-05,-5.0454305e-06,1.22784613e-07,-0.000161013901,-3.42604338e-05,6.42061824e-06,6.44055603e-06,3.48570902e-05
5.49249357e-08,3.21044427e-05,-4.59664625e-06,1.16061628e-07,-0.000147382903,-3.18949457e-05,5.87680471e-06,5.89531614e-06,3.243205e-05
5.58365016e-08,2.94574529e-05,-4.14746546e-06,1.02775758e-07,-0.000133476919,-2.92680357e-05,5.32213186e-06,5.33907674e-06,2.97481691e-05
5.67024294e-08,2.90012831e-05,-4.61172931e-06,1.00525853e-07,-0.000144612495,-2.87936652e-05,5.76778242e-06,5.78449981e-06,2.93658403e-05
5.76136756e-08,3.28957503e-05,-5.19039031e-06,1.18196361e-07,-0.000163015968,-3.2661877e-05,6.50171771e-06,6.52063871e-06,3.33029205e-05
5.8524833e-08,3.65616943e-05,-5.74779779e-06,1.31427257e-07,-0.000180656643,-3.63025982e-05,7.20527797e-06,7.22626573e-06,3.70109706e-05
5.94359726e-08,3.84047817e-05,-6.56383418e-06,3.65872026e-08,-0.000202910844,-3.81115786e-05,8.09436546e-06,8.11643375e-06,3.896168e-05
6.03016446e-08,4.32007328e-05,-7.29980275e-06,5.23781836e-08,-0.000226157543,-4.28742625e-05,9.02153222e-06,9.04630171e-06,4.38131621e-05
6.12129725e-08,4.61235068e-05,-7.59048544e-06,8.39829113e-08,-0.000236380816,-4.57830744e-05,9.42886219e-06,9.45523265e-06,4.67439878e-05
6.21244993e-08,4.73345317e-05,-7.45815987e-06,1.30684015e-07,-0.000234301027,-4.69984223e-05,9.34507055e-06,9.3720411e-06,4.79186719e-05
6.30362536e-08,4.37465969e-05,-6.57689816e-06,1.55339819e-07,-0.000208646859,-4.34485985e-05,8.32103463e-06,8.34587438e-06,4.42384953e-05
6.39024975e-08,4.10998837e-05,-5.97264761e-06,1.6465799e-07,-0.000190867417,-4.08281659e-05,7.61142712e-06,7.63469667e-06,4.15319163e-05
6.48141452e-08,3.82996222e-05,-5.42031376e-06,1.61080592e-07,-0.00017422947,-3.80522319e-05,6.94755448e-06,6.96917879e-06,3.86816082e-05
6.5725601e-08,3.52427269e-05,-4.88497835e-06,1.43225648e-07,-0.000157756294,-3.50191894e-05,6.29040407e-06,6.31025177e-06,3.55799568e-05
6.66369786e-08,3.38685531e-05,-5.40405017e-06,1.37039422e-07,-0.000169330815,-3.36253575e-05,6.7541084e-06,6.7732326e-06,3.42972511e-05
6.75025191e-08,3.8264654e-05,-6.06187314e-06,1.52924926e-07,-0.0001902191,-3.79916361e-05,7.58720232e-06,7.60876399e-06,3.87421403e-05
6.84134775e-08,4.25751423e-05,-6.70653026e-06,1.68787992e-07,-0.000210691418,-4.2272897e-05,8.40371734e-06,8.42765672e-06,4.31004499e-05
6.93244289e-08,4.52594759e-05,-7.10097129e-06,1.84735271e-07,-0.000223264593,-4.493931e-05,8.90518757e-06,8.93058372e-06,4.58135141e-05
7.02354441e-08,5.00476199e-05,-8.53218899e-06,7.44936131e-08,-0.000263871189,-4.96663906e-05,1.05267351e-05,1.05548475e-05,5.07697553e-05
7.11010344e-08,5.3334883e-05,-8.85234658e-06,1.13911369e-07,-0.000275199156,-5.29382213e-05,1.09780921e-05,1.10079662e-05,5.40646535e-05
7.20124405e-08,5.52402817e-05,-8.72250257e-06,1.73662272e-07,-0.000273884361,-5.48472883e-05,1.09245476e-05,1.09553745e-05,5.5924958e-05
7.29241378e-08,5.09732818e-05,-7.60344255e-06,2.13165947e-07,-0.000241602087,-5.0628452e-05,9.63574821e-06,9.66408348e-06,5.15376875e-05
7.38361834e-08,4.77723588e-05,-6.82749487e-06,2.2381488e-07,-0.000218972142,-4.7461119e-05,8.73241843e-06,8.75888567e-06,4.82582951e-05
7.47029176e-08,4.4731707e-05,-6.20812989e-06,2.13836316e-07,-0.000200416718,-4.44476674e-05,7.99195523e-06,8.01666873e-06,4.5160959e-05
7.5615425e-08,4.11214714e-05,-5.57797466e-06,1.90418234e-07,-0.000181014795,-4.08655192e-05,7.21793314e-06,7.2405918e-06,4.14984997e-05
7.65280035e-08,3.79802732e-05,-6.07135053e-06,1.74048765e-07,-0.000190157487,-3.77071038e-05,7.58529993e-06,7.60629948e-06,3.84628749e-05
7.7440717e-08,4.33445566e-05,-6.85552232e-06,2.03979226e-07,-0.000215181703,-4.30357378e-05,8.58335859e-06,8.6072681e-06,4.38838283e-05
7.83077851e-08,4.79691516e-05,-7.53246695e-06,2.27378123e-07,-0.000236777501,-4.76295631e-05,9.44469622e-06,9.47110006e-06,4.85574842e-05
7.92205057e-08,5.18548732e-05,-8.13279257e-06,2.30417911e-07,-0.000255710358,-5.14881698e-05,1.01999291e-05,1.02284143e-05,5.24892682e-05
8.01331268e-08,5.65428927e-05,-9.77607669e-06,8.58776659e-08,-0.000301512016,-5.61067256e-05,1.20293695e-05,1.20604807e-05,5.73818592e-05
8.10453784e-08,6.07430666e-05,-1.01871792e-05,1.43949407e-07,-0.000316035555,-6.02871001e-05,1.26081053e-05,1.26414222e-05,6.15915536e-05
8.19116579e-08,6.25638058e-05,-9.96963445e-06,2.17879943e-07,-0.000312443299,-6.21150824e-05,1.24635447e-05,1.2497732e-05,6.33535388e-05
8.28232558e-08,5.85260277e-05,-8.74295984e-06,2.68764296e-07,-0.000277705694,-5.8129588e-05,1.10763833e-05,1.11082278e-05,5.9176072e-05
8.37348537e-08,5.47067211e-05,-7.75819171e-06,2.88937827e-07,-0.000249233184,-5.43527167e-05,9.93967134e-06,9.96932737e-06,5.52548492e-05
8.46007282e-08,5.12242914e-05,-7.00425153e-06,2.79223883e-07,-0.000226868928,-5.09032221e-05,9.04707418e-06,9.07475711e-06,5.17016976e-05
8.55118856e-08,4.70534287e-05,-6.25313533e-06,2.51822172e-07,-0.000203878109,-4.67657323e-05,8.12976877e-06,8.15512438e-06,4.74677814e-05
8.64229577e-08,4.27681189e-05,-5.54542385e-06,2.24011444e-07,-0.000181855983,-4.25121511e-05,7.2512567e-06,7.27423932e-06,4.31267191e-05
8.73362183e-08,4.85221572e-05,-7.67855454e-06,2.60588024e-07,-0.00024097439,-4.81762843e-05,9.61278127e-06,9.63897561e-06,4.9126651e-05
8.82037341e-08,5.35206564e-05,-8.38787037e-06,2.79483118e-07,-0.000263756083,-5.31424202e-05,1.05214164e-05,1.05502433e-05,5.41746725e-05
8.91165755e-08,5.7633617e-05,-8.99957286e-06,2.98197591e-07,-0.000283201982,-5.72276293e-05,1.12971041e-05,1.13280793e-05,5.83327956e-05
