time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
5.40132525e-08,1.26335276e-10,0.00873762928,4.29549764e-11,8.33802957e-11,0,0,5.73315395e-09,2.56621113e-12,0.00873762928
5.49249357e-08,1.25460559e-10,0.00873762928,4.350224e-11,8.19583221e-11,0,0,5.90535976e-09,2.61332622e-12,0.00873762928
5.58365016e-08,1.22801741e-10,0.00873762928,4.34167459e-11,7.93849986e-11,0,0,6.06203354e-09,2.66380559e-12,0.00873762928
5.67024294e-08,1.1937154e-10,0.00873762928,4.38264945e-11,7.55450424e-11,0,0,6.20234886e-09,2.74577995e-12,0.00873762928
5.76136756e-08,1.17085744e-10,0.00873762928,4.3700793e-11,7.33849509e-11,0,0,6.37402575e-09,2.90833091e-12,0.00873762928
5.8524833e-08,1.15949667e-10,0.00873762928,4.22662426e-11,7.36834205e-11,0,0,6.56525145e-09,3.06897043e-12,0.00873762928
5.94359726e-08,1.20708415e-10,0.00873762928,4.26531969e-11,7.80552151e-11,0,0,6.7729915e-09,3.18193063e-12,0.00873762928
6.03016446e-08,1.31280417e-10,0.00873762928,4.54338026e-11,8.58466145e-11,0,0,7.00116409e-09,3.39655886e-12,0.00873762928
6.12129725e-08,1.47231144e-10,0.00873762928,4.99896548e-11,9.72414926e-11,0,0,7.2594637e-09,3.54777882e-12,0.00873762928
6.21244993e-08,1.66617151e-10,0.00873762928,5.60807581e-11,1.10536393e-10,0,0,7.52286322e-09,3.64104103e-12,0.00873762928
6.30362536e-08,1.80868889e-10,0.00873762928,6.20490256e-11,1.18819871e-10,0,0,7.77163134e-09,3.69341667e-12,0.00873762928
6.39024975e-08,1.82676624e-10,0.00873762928,6.42860695e-11,1.18390561e-10,0,0,7.98277622e-09,3.74867802e-12,0.00873762928
6.48141452e-08,1.81371834e-10,0.00873762928,6.5107017e-11,1.16264824e-10,0,0,8.18653145e-09,3.82178317e-12,0.00873762928
6.5725601e-08,1.77829571e-10,0.00873762928,6.51284443e-11,1.12701126e-10,0,0,8.3718481e-09,3.90000315e-12,0.00873762928
6.66369786e-08,1.72720407e-10,0.00873762928,6.57357224e-11,1.06984685e-10,0,0,8.54432525e-09,4.0055151e-12,0.00873762928
6.75025191e-08,1.69996558e-10,0.00873762928,6.61197139e-11,1.03876845e-10,0,0,8.73497541e-09,4.20347524e-12,0.00873762928
6.84134775e-08,1.67218503e-10,0.00873762928,6.41459594e-11,1.03072537e-10,0,0,8.95802277e-09,4.40956429e-12,0.00873762928
6.93244289e-08,1.72067999e-10,0.00873762928,6.3799771e-11,1.08268228e-10,0,0,9.20195475e-09,4.58260166e-12,0.00873762928
7.02354441e-08,1.861796e-10,0.00873762928,6.72612938e-11,1.18918306e-10,0,0,9.48095114e-09,4.83244998e-12,0.00873762928
7.11010344e-08,2.05133896e-10,0.00873762928,7.26640415e-11,1.32469855e-10,0,0,9.76707337e-09,5.02052566e-12,0.00873762928
7.20124405e-08,2.29521138e-10,0.00873762928,8.03712999e-11,1.49149831e-10,0,0,1.00745865e-08,5.16328473e-12,0.00873762928
7.29241378e-08,2.49190418e-10,0.00873762928,8.86201668e-11,1.60570252e-10,0,0,1.03646132e-08,5.24334916e-12,0.00873762928
7.38361834e-08,2.50205384e-10,0.00873762928,9.12127873e-11,1.58992597e-10,0,0,1.06206466e-08,5.33205034e-12,0.00873762928
7.47029176e-08,2.46750925e-10,0.00873762928,9.12447687e-11,1.55506164e-10,0,0,1.08432667e-08,5.43617842e-12,0.00873762928
