time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
1.01250248e-06,6.08160008e-06,0.00873832963,2.49332379e-06,6.55283714e-07,2.9329924e-06,0,5.22798073e-05,1.50178505e-06,0.00873765443
1.01340004e-06,6.14554983e-06,0.00873831101,2.51698498e-06,6.77465664e-07,2.9510993e-06,0,5.23434392e-05,1.50457413e-06,0.00873765443
1.01430248e-06,6.13893872e-06,0.0087383315,2.52359291e-06,6.60177591e-07,2.95516838e-06,0,5.24025818e-05,1.50867083e-06,0.00873765443
1.01520357e-06,6.16555053e-06,0.00873833336,2.53670555e-06,6.71083342e-07,2.95776135e-06,0,5.24737297e-05,1.51211361e-06,0.00873765443
1.01610328e-06,6.21617392e-06,0.00873834174,2.5562374e-06,6.73984857e-07,2.98595182e-06,0,5.25553733e-05,1.5177518e-06,0.00873765629
1.01700584e-06,6.18630293e-06,0.00873837247,2.54177075e-06,6.37217738e-07,3.00731472e-06,0,5.25557589e-05,1.52623386e-06,0.00873765536
1.01790567e-06,6.20669971e-06,0.00873834733,2.53954818e-06,6.53705797e-07,3.01344585e-06,0,5.25557589e-05,1.53072244e-06,0.00873765536
1.01880266e-06,6.17922706e-06,0.00873837154,2.53852158e-06,6.24099471e-07,3.01660589e-06,0,5.25557589e-05,1.53453607e-06,0.00873765536
1.0197017e-06,6.16174248e-06,0.00873838551,2.54149313e-06,6.01176168e-07,3.01907312e-06,0,5.25557589e-05,1.53818598e-06,0.00873765629
1.02060028e-06,6.2076133e-06,0.00873833615,2.54077713e-06,6.46883109e-07,3.01995328e-06,0,5.25557589e-05,1.54149473e-06,0.00873765629
1.021505e-06,6.18229296e-06,0.00873835851,2.53930398e-06,6.22014511e-07,3.02097442e-06,0,5.25557589e-05,1.54444911e-06,0.00873765629
1.02240131e-06,6.17290607e-06,0.00873836502,2.54039105e-06,6.10959262e-07,3.02155581e-06,0,5.25557589e-05,1.54727775e-06,0.00873765629
1.02330512e-06,6.20663241e-06,0.0087383287,2.54305883e-06,6.4115892e-07,3.02241483e-06,0,5.25557589e-05,1.54997736e-06,0.00873765629
1.02420438e-06,6.19144475e-06,0.00873834081,2.54061388e-06,6.27859151e-07,3.0229719e-06,0,5.2555788e-05,1.5524721e-06,0.00873765629
1.02510432e-06,6.16354782e-06,0.00873836689,2.5400675e-06,5.9998689e-07,3.02349372e-06,0,5.2555788e-05,1.55494968e-06,0.00873765629
1.02600472e-06,6.18377635e-06,0.0087383436,2.54451038e-06,6.1527453e-07,3.02399121e-06,0,5.2555788e-05,1.55734756e-06,0.00873765629
1.02690035e-06,6.17834939e-06,0.00873834733,2.54288125e-06,6.11029009e-07,3.02443937e-06,0,5.25562864e-05,1.55962664e-06,0.00873765629
1.02780245e-06,6.20223727e-06,0.00873833429,2.54670567e-06,6.29518809e-07,3.02601279e-06,0,5.25736832e-05,1.56188446e-06,0.00873765629
1.02870047e-06,6.22996595e-06,0.00873832498,2.55362806e-06,6.48580169e-07,3.02775766e-06,0,5.26068725e-05,1.56408692e-06,0.00873765629
1.02960121e-06,6.22889775e-06,0.00873835199,2.56505518e-06,6.33415766e-07,3.03042657e-06,0,5.26556796e-05,1.56626459e-06,0.00873765629
1.030504e-06,6.25249186e-06,0.00873834826,2.57814054e-06,6.41196664e-07,3.03315483e-06,0,5.27066004e-05,1.56836415e-06,0.00873765629
1.03140178e-06,6.29143324e-06,0.00873832311,2.58647015e-06,6.70040379e-07,3.03492266e-06,0,5.27507982e-05,1.57033946e-06,0.00873765629
1.03230207e-06,6.28076305e-06,0.00873834919,2.60062757e-06,6.43705278e-07,3.03643037e-06,0,5.28003511e-05,1.57228476e-06,0.00873765629
1.03320451e-06,6.32329738e-06,0.00873832405,2.61440914e-06,6.69973247e-07,3.03891488e-06,0,5.28553246e-05,1.57422164e-06,0.00873765629
1.03410446e-06,6.35087781e-06,0.00873831566,2.62058575e-06,6.88868795e-07,3.04142327e-06,0,5.29135177e-05,1.57609497e-06,0.00873765629
1.03500054e-06,6.32721321e-06,0.00873835199,2.6099583e-06,6.70810437e-07,3.04644436e-06,0,5.29754543e-05,1.57841976e-06,0.00873765722
1.03590207e-06,6.37065932e-06,0.00873833895,2.62221192e-06,7.00518399e-07,3.04792889e-06,0,5.30499055e-05,1.58089654e-06,0.00873765722
