time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
5.31013953e-08,7.25359639e-09,0.00873762928,2.07214046e-09,5.18145615e-09,0,0,3.69056295e-07,3.18477397e-11,0.00873762928
5.40035963e-08,7.2246138e-09,0.00873763021,2.27494801e-09,4.94966601e-09,0,0,3.82072272e-07,3.27815344e-11,0.00873762928
5.49056942e-08,7.09577153e-09,0.00873763021,2.48179943e-09,4.61397187e-09,0,0,3.94131092e-07,3.38015414e-11,0.00873762928
5.58011841e-08,6.89533497e-09,0.00873763021,2.67049094e-09,4.22484403e-09,0,0,4.05039088e-07,3.48189533e-11,0.00873762928
5.67031364e-08,6.68987132e-09,0.00873763021,2.77319723e-09,3.91667365e-09,0,0,4.15399711e-07,3.61519148e-11,0.00873762928
5.76050212e-08,6.71381528e-09,0.00873763021,2.54767207e-09,4.16614343e-09,0,0,4.26965954e-07,3.78852227e-11,0.00873762928
5.85004081e-08,6.98079594e-09,0.00873763021,2.33911801e-09,4.64167815e-09,0,0,4.39290488e-07,3.97740174e-11,0.00873762928
5.94023781e-08,7.37370831e-09,0.00873763021,2.2689457e-09,5.10476283e-09,0,0,4.52575819e-07,4.17063155e-11,0.00873762928
6.03043588e-08,8.41746495e-09,0.00873763021,2.4390916e-09,5.97837335e-09,0,0,4.6781841e-07,4.44599531e-11,0.00873762928
6.12063857e-08,9.55406954e-09,0.00873763021,2.6443483e-09,6.90972124e-09,0,0,4.84184056e-07,4.71121406e-11,0.00873762928
6.21019609e-08,1.02495026e-08,0.00873763021,2.81883517e-09,7.43066719e-09,0,0,5.00870783e-07,4.89528348e-11,0.00873762928
6.30039807e-08,1.03809423e-08,0.00873763021,3.03880676e-09,7.34213579e-09,0,0,5.17159322e-07,5.03300839e-11,0.00873762928
6.39057518e-08,1.02896784e-08,0.00873763021,3.30962791e-09,6.98005076e-09,0,0,5.32547517e-07,5.17165546e-11,0.00873762928
6.48008296e-08,1.00754178e-08,0.00873763021,3.58644781e-09,6.48897025e-09,0,0,5.46637978e-07,5.32397043e-11,0.00873762928
6.57023023e-08,9.75929115e-09,0.00873763021,3.83459975e-09,5.92469096e-09,0,0,5.59498858e-07,5.48264247e-11,0.00873762928
6.66036541e-08,9.42442124e-09,0.00873763021,4.01691835e-09,5.40750289e-09,0,0,5.7138476e-07,5.67073125e-11,0.00873762928
6.75048355e-08,9.36799971e-09,0.00873763021,3.6995953e-09,5.66840397e-09,0,0,5.8483829e-07,5.92876581e-11,0.00873762928
6.84061092e-08,9.66533698e-09,0.00873763021,3.38547457e-09,6.27986285e-09,0,0,5.99276234e-07,6.1972559e-11,0.00873762928
6.93010023e-08,1.01623181e-08,0.00873763021,3.2659242e-09,6.89639412e-09,0,0,6.14559099e-07,6.47534457e-11,0.00873762928
7.02024536e-08,1.14598118e-08,0.00873763021,3.46925444e-09,7.99055666e-09,0,0,6.32157764e-07,6.85181009e-11,0.00873762928
7.11040116e-08,1.28978703e-08,0.00873763021,3.72283915e-09,9.1750314e-09,0,0,6.51144546e-07,7.20679003e-11,0.00873762928
7.20057614e-08,1.39403715e-08,0.00873763021,3.97990885e-09,9.96046268e-09,0,0,6.70669806e-07,7.48025253e-11,0.00873762928
7.29012157e-08,1.40867558e-08,0.00873763021,4.20663504e-09,9.88012072e-09,0,0,6.89407955e-07,7.68049652e-11,0.00873762928
7.38034203e-08,1.39497729e-08,0.00873763021,4.55821025e-09,9.39156308e-09,0,0,7.07167885e-07,7.8857719e-11,0.00873762928
7.47057953e-08,1.36144749e-08,0.00873763021,4.92059771e-09,8.69387673e-09,0,0,7.23492406e-07,8.10493131e-11,0.00873762928
7.56017471e-08,1.31653746e-08,0.00873763021,5.23569277e-09,7.92968269e-09,0,0,7.3812123e-07,8.33127733e-11,0.00873762928
7.65043424e-08,1.26114212e-08,0.00873763021,5.45313972e-09,7.15828108e-09,0,0,7.5145806e-07,8.57171556e-11,0.00873762928
7.74004363e-08,1.25218991e-08,0.00873763021,5.11196685e-09,7.40993222e-09,0,0,7.66689652e-07,8.93023919e-11,0.00873762928
7.83031737e-08,1.28504212e-08,0.00873763021,4.68023975e-09,8.17018186e-09,0,0,7.83144287e-07,9.29852376e-11,0.00873762928
7.92060035e-08,1.34677078e-08,0.00873763021,4.47937154e-09,8.9883363e-09,0,0,8.00694465e-07,9.69342454e-11,0.00873762928
8.01023035e-08,1.48763899e-08,0.00873763021,4.69951988e-09,1.017687e-08,0,0,8.20426465e-07,1.01894569e-10,0.00873762928
8.10049983e-08,1.67696612e-08,0.00873763021,5.02768538e-09,1.17419754e-08,0,0,8.42105578e-07,1.07063886e-10,0.00873762928
8.1900879e-08,1.8248258e-08,0.00873763021,5.39071099e-09,1.28575479e-08,0,0,8.64243589e-07,1.1128802e-10,0.00873762928
8.2803048e-08,1.84392093e-08,0.00873763021,5.65182301e-09,1.27873871e-08,0,0,8.85762859e-07,1.14609031e-10,0.00873762928
8.3705018e-08,1.82674231e-08,0.00873763021,6.08324235e-09,1.21841799e-08,0,0,9.05893785e-07,1.17820351e-10,0.00873762928
8.46003161e-08,1.78365003e-08,0.00873763021,6.57517463e-09,1.12613261e-08,0,0,9.24187248e-07,1.21136101e-10,0.00873762928
8.55020517e-08,1.72158963e-08,0.00873763021,6.96406177e-09,1.02518349e-08,0,0,9.4078149e-07,1.24570743e-10,0.00873762928
8.64037091e-08,1.64127254e-08,0.00873763021,7.20848403e-09,9.20424181e-09,0,0,9.55580504e-07,1.27918467e-10,0.00873762928
8.73004922e-08,1.62356013e-08,0.00873763021,6.89028123e-09,9.34532007e-09,0,0,9.72483122e-07,1.33066363e-10,0.00873762928
8.82037838e-08,1.65570668e-08,0.00873763021,6.29893027e-09,1.02581366e-08,0,0,9.90891749e-07,1.38428727e-10,0.00873762928
8.9100368e-08,1.72409713e-08,0.00873763021,6.03329875e-09,1.12076721e-08,0,0,1.01034777e-06,1.43917336e-10,0.00873762928
9.00033257e-08,1.90806535e-08,0.00873763021,6.2867862e-09,1.27938673e-08,0,0,1.03240166e-06,1.50614576e-10,0.00873762928
9.09060134e-08,2.11652083e-08,0.00873763021,6.61431399e-09,1.45508938e-08,0,0,1.05667391e-06,1.57310054e-10,0.00873762928
9.18017093e-08,2.31608333e-08,0.00873763021,7.0835835e-09,1.60772498e-08,0,0,1.08153051e-06,1.63127151e-10,0.00873762928
9.27035515e-08,2.34255868e-08,0.00873763021,7.34101446e-09,1.60845737e-08,0,0,1.10568328e-06,1.67697814e-10,0.00873762928
9.36050384e-08,2.31977175e-08,0.00873763021,7.82242005e-09,1.53752975e-08,0,0,1.12815951e-06,1.72210315e-10,0.00873762928
9.45062339e-08,2.26219292e-08,0.00873763021,8.43691517e-09,1.41850149e-08,0,0,1.1486635e-06,1.76817769e-10,0.00873762928
9.54007362e-08,2.17990799e-08,0.00873763021,8.94701113e-09,1.28520696e-08,0,0,1.16690933e-06,1.81554299e-10,0.00873762928
9.63016404e-08,2.07739408e-08,0.00873763021,9.1950163e-09,1.15789236e-08,0,0,1.18326602e-06,1.86178309e-10,0.00873762928
9.72021965e-08,2.04312745e-08,0.00873763021,8.89222029e-09,1.1539055e-08,0,0,1.20162622e-06,1.92735147e-10,0.00873762928
9.81028023e-08,2.06586517e-08,0.00873763021,8.13365375e-09,1.25249979e-08,0,0,1.22187089e-06,1.99735214e-10,0.00873762928
9.90035858e-08,2.1477387e-08,0.00873763021,7.77711584e-09,1.37002711e-08,0,0,1.24349776e-06,2.06784825e-10,0.00873762928
