time_s,ALLIE_mJ,ALLKE_mJ,ALLAE_mJ,ALLSE_mJ,ALLPD_mJ,ALLDMD_mJ,ALLWK_mJ,ALLVD_mJ,ETOTAL_mJ
8.73920101e-07,1.50738757e-07,0.0087376358,5.48834223e-08,1.47045656e-08,8.11507661e-08,0,1.13334681e-06,1.40190073e-08,0.00873763021
8.74805096e-07,1.50703514e-07,0.0087376358,5.48931851e-08,1.46568961e-08,8.11534377e-08,0,1.13334681e-06,1.40338612e-08,0.00873763021
8.75736475e-07,1.50828313e-07,0.0087376358,5.49265593e-08,1.47475694e-08,8.11541909e-08,0,1.13334681e-06,1.40498768e-08,0.00873763021
8.76621129e-07,1.50978295e-07,0.0087376358,5.49549171e-08,1.48691814e-08,8.1154198e-08,0,1.13334681e-06,1.40646597e-08,0.00873763021
8.77506011e-07,1.51041647e-07,0.0087376358,5.49706165e-08,1.49167541e-08,8.11542762e-08,0,1.13334681e-06,1.40785579e-08,0.00873763021
8.78437504e-07,1.50924492e-07,0.0087376358,5.4965259e-08,1.48020716e-08,8.1157161e-08,0,1.13334681e-06,1.40928433e-08,0.00873763021
8.79313461e-07,1.5080596e-07,0.0087376358,5.49912933e-08,1.46539927e-08,8.11606782e-08,0,1.13334681e-06,1.41069858e-08,0.00873763021
8.80223809e-07,1.50807537e-07,0.0087376358,5.50316273e-08,1.46118548e-08,8.11640604e-08,0,1.13334681e-06,1.41236711e-08,0.00873763021
8.81134667e-07,1.50956666e-07,0.0087376358,5.50606387e-08,1.47285562e-08,8.1167471e-08,0,1.13334681e-06,1.41395571e-08,0.00873763021
8.82002837e-07,1.5114253e-07,0.0087376358,5.50900339e-08,1.4882291e-08,8.11702066e-08,0,1.13334681e-06,1.41539935e-08,0.00873763021
8.82930067e-07,1.51192211e-07,0.0087376358,5.51187398e-08,1.48993964e-08,8.11740719e-08,0,1.13334681e-06,1.41687098e-08,0.00873763021
8.83841949e-07,1.51087477e-07,0.0087376358,5.51403829e-08,1.47694008e-08,8.11776957e-08,0,1.13334681e-06,1.41827723e-08,0.00873763021
8.84710118e-07,1.5094713e-07,0.0087376358,5.51593828e-08,1.46074282e-08,8.11803176e-08,0,1.13334681e-06,1.4196246e-08,0.00873763021
8.85620409e-07,1.50897648e-07,0.0087376358,5.51762689e-08,1.45367292e-08,8.11846519e-08,0,1.13334681e-06,1.42110519e-08,0.00873763021
8.86530927e-07,1.51056057e-07,0.0087376358,5.51946862e-08,1.46710599e-08,8.11903078e-08,0,1.13334681e-06,1.42258312e-08,0.00873763021
8.87441274e-07,1.51271621e-07,0.00873763487,5.52060548e-08,1.4870805e-08,8.11947629e-08,0,1.13334681e-06,1.42410759e-08,0.00873763021
8.88306545e-07,1.51337616e-07,0.00873763487,5.52276056e-08,1.49136117e-08,8.11963972e-08,0,1.13334681e-06,1.42547023e-08,0.00873763021
8.89217006e-07,1.51243626e-07,0.00873763487,5.52440795e-08,1.48017207e-08,8.11978182e-08,0,1.13334681e-06,1.42687648e-08,0.00873763021
8.90127296e-07,1.51030491e-07,0.0087376358,5.52442536e-08,1.45854422e-08,8.12008025e-08,0,1.13334681e-06,1.42829686e-08,0.00873763021
8.9103753e-07,1.50941503e-07,0.0087376358,5.52614772e-08,1.44791201e-08,8.12009091e-08,0,1.13334681e-06,1.42989149e-08,0.00873763021
8.91903085e-07,1.51072541e-07,0.00873763487,5.5287579e-08,1.4584046e-08,8.12009091e-08,0,1.13334681e-06,1.43135939e-08,0.00873763021
8.92812807e-07,1.51282592e-07,0.00873763487,5.53050619e-08,1.47766057e-08,8.12009233e-08,0,1.13334681e-06,1.43285348e-08,0.00873763021
8.9372196e-07,1.51358819e-07,0.00873763487,5.53113786e-08,1.48464947e-08,8.12009446e-08,0,1.13334681e-06,1.43426426e-08,0.00873763021
8.94630887e-07,1.51242972e-07,0.00873763487,5.53146329e-08,1.47273518e-08,8.12009873e-08,0,1.13334681e-06,1.43566092e-08,0.00873763021
8.95539813e-07,1.51022974e-07,0.00873763487,5.53083552e-08,1.45135939e-08,8.12010228e-08,0,1.13334681e-06,1.4370829e-08,0.00873763021
8.96403606e-07,1.5095759e-07,0.00873763487,5.53183988e-08,1.44381547e-08,8.1201037e-08,0,1.13334681e-06,1.43844607e-08,0.00873763021
8.97311679e-07,1.51049917e-07,0.00873763487,5.53211912e-08,1.452758e-08,8.12011507e-08,0,1.13334681e-06,1.43990215e-08,0.00873763021
8.98221629e-07,1.51287381e-07,0.00873763487,5.53536275e-08,1.47325778e-08,8.1201172e-08,0,1.13334681e-06,1.44129313e-08,0.00873763021
8.99131749e-07,1.51415676e-07,0.00873763487,5.53865966e-08,1.48274699e-08,8.12016125e-08,0,1.13334681e-06,1.44267158e-08,0.00873763021
9.00043631e-07,1.51290664e-07,0.00873763487,5.53869484e-08,1.47014685e-08,8.12022449e-08,0,1.13334681e-06,1.44400847e-08,0.00873763021
9.00908958e-07,1.5106616e-07,0.00873763487,5.53760167e-08,1.448789e-08,8.1202252e-08,0,1.13334681e-06,1.44530183e-08,0.00873763021
